'duration','end_of_fade_in','key','loudness','start_of_fade_out','tempo','artist_familiarity','artist_hotttnesss','release_7digitalid','song_hotttnesss'
179.01669,0.136,7,-6.595,179.017,200.249,0.43351711555557576,0.0,338629,0.0
368.22159,0.0,5,-5.035,368.222,146.01,0.4672359160951003,0.4406098262775343,804186,0.0
974.99383,0.0,0,-12.391,971.912,126.83,0.6335459987503766,0.4024958799867582,614711,0.30416950343527516
558.44526,5.126,0,-10.91,545.762,139.286,0.6174214066397045,0.44925387694771113,279664,0.39439485610058261
304.22159,0.304,5,-14.809,293.558,75.487,0.5509689161798321,0.33612442515088997,322686,0.48456252996792964
181.62893,0.624,9,-7.163,177.65,102.155,0.5501038502561703,0.38623768283972165,508143,0.21990668461970456
90.8273,0.0,5,-11.378,90.827,63.641,0.7040939465198991,0.4107435775323873,99422,0.62092359252390072
108.14649,0.308,7,-10.173,99.643,154.246,0.6533406926626858,0.44960808830900445,738782,0.54593738133103764
153.67791,0.409,10,-14.234,146.042,93.77,0.5515651754684117,0.3713025465171209,46489,0.38314502018413787
218.48771,0.0,7,-3.287,215.609,166.409,0.725402920778495,0.4549573948202216,744095,0.27077599894632748
157.07383,3.634,9,-9.514,147.876,141.257,0.8320117706473318,0.6941285029590545,752698,0.35528553642308941
423.70567,0.142,9,-19.877,392.562,131.85,0.44233476355461765,0.3873507510715329,485511,0.0
179.46077,0.531,0,-6.988,174.602,118.167,0.42739879032798356,0.3227178557598917,602681,0.6362872244273321
162.06322,1.449,5,-25.745,152.276,44.816,0.8302522617224859,0.5079658021593736,194440,0.62112611701778253
255.16363,12.388,7,-5.318,248.21,135.733,0.6943577464366076,0.5207841069422383,117351,0.55316675350079247
297.03791,0.0,0,-11.547,291.73,71.077,0.5674612440192913,0.3832109687924385,15373,0.58340123101446273
175.51628,0.63,2,-12.813,168.937,106.407,0.6632319848008446,0.4937110766426872,60541,0.52878248094258773
237.19138,0.193,5,-7.485,237.191,161.961,0.5127402263276489,0.301246881415998,420109,0.0
205.11302,0.258,7,-1.869,201.485,150.573,0.5754126005522645,0.41735105580296544,46449,0.5479529419800353
189.6224,0.119,3,-11.21,179.003,74.55,0.4371937769385019,0.3161559873970384,283914,0.0
379.32363,4.696,7,-10.519,368.141,89.965,0.6265677126778345,0.44384773879174966,596089,0.30416950343527516
203.65016,0.0,0,-14.897,196.354,195.824,0.592472072955975,0.42062740133562165,13857,0.59966035762648084
110.94159,0.665,7,-15.81,100.339,124.393,0.41994127477041937,0.2491372295395512,95066,0.36461247732308261
1280.88771,0.375,8,-15.357,1172.428,88.341,0.7728732738402645,0.4737005012967777,307070,0.49944583480063209
259.36934,3.024,6,-8.273,250.253,85.155,0.5007819858211396,0.3890293659837453,476209,0.0
222.30159,0.0,0,-5.128,209.496,155.906,0.4862200589790597,0.38477354138946035,321274,0.51125483510024283
192.23465,4.156,0,-13.012,173.935,115.671,0.5008761600501868,0.3792280690900896,131443,0.3775316449767025
261.43302,0.0,8,-6.405,258.328,126.428,0.6460213427696081,0.40880107251989956,237545,0.44440171452285138
540.52526,0.247,4,-9.479,531.122,113.031,0.4120997075021091,0.0,800710,0.0
195.91791,0.2,6,-6.866,190.09,166.002,0.48087292458404746,0.3811064916799453,137244,0.28848164265602888
160.31302,6.513,1,-9.385,156.479,152.785,0.8788113434932,0.6538972174277825,190662,0.49388757585564375
188.49914,0.171,10,-14.822,175.038,117.001,0.5303556678749041,0.39717904259160935,34605,0.0
160.1824,0.0,10,-13.394,143.813,139.768,0.5781036297198625,0.4148926124367487,610954,0.50627099352319516
228.33587,4.18,0,-5.571,206.065,88.471,0.7446412459327763,0.5799889824287546,7133,0.94599467982204033
409.73016,0.0,7,-20.974,403.052,137.754,0.2303126835308617,0.41712458371887273,338811,0.0
476.18567,0.549,2,-17.763,465.821,127.387,0.5602156477144903,0.36425887067116786,221617,0.50338123620631914
183.01342,0.578,7,-8.972,171.392,85.776,0.6045860441995654,0.39785032314653385,202030,0.42453905223733984
